"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140"
"Rouge",131,7960,6700,18510,6690,6625,685,39556,33736,9.5,729154,24645,22625,2010,13485,59.4,8.2,46085,24205,280,0,495,415,195,135,4315,700,10,55,140,1450,10,7625,1145,1855,1170,575,1015,2015,"Rouge (131)"
"Malvern",132,7910,6620,17865,5535,5890,445,29573,26505,20.4,533202,22260,19925,2335,13610,55.5,10.5,43780,21045,305,5,650,295,90,75,6195,620,10,60,255,2840,30,3475,1275,3540,1220,655,3175,2015,"Malvern (132)"
"Centennial Scarborough",133,2150,1850,5030,1955,2385,160,54045,43854,6.2,215135,7185,6635,545,4010,59.3,7.6,13345,9135,130,0,125,415,160,105,835,495,5,35,20,420,10,3510,160,485,150,60,0,2015,"Centennial Scarborough (133)"
"Highland Creek",134,1545,1925,4620,2020,2395,190,40972,34837,10.5,196620,6655,6095,565,4270,55.8,8.5,12475,6665,80,0,135,325,75,120,1195,415,20,60,35,755,5,3100,5,15,545,30,0,2015,"Highland Creek (134)"
"Morningside",135,2880,2690,6840,2355,2695,355,32291,28497,23.8,272837,8760,7770,995,5510,54.4,11.4,17170,9095,145,0,300,270,130,110,1640,425,20,55,110,645,5,2280,25,920,310,205,2130,2015,"Morningside (135)"
"West Hill",136,4635,3950,10765,3785,4240,625,33323,29221,25.2,316750,13100,11585,1515,9300,51.7,11.6,26985,16580,360,5,610,605,215,215,2350,895,20,60,225,585,35,3220,450,1445,735,635,3485,2015,"West Hill (136)"
"Woburn",137,9625,7660,21945,6245,8010,1130,30878,27341,27.2,629030,25180,22505,2665,18215,51.9,10.6,53310,22645,400,0,840,885,395,535,11010,1220,60,125,220,3225,50,6310,285,240,1750,490,9330,2015,"Woburn (137)"
"Eglinton East",138,4180,3130,9180,2825,3505,560,30033,26865,26,343031,10690,9540,1155,7385,52.8,10.8,22575,10970,310,5,490,425,130,330,1960,625,15,40,205,740,20,1535,120,510,585,195,4965,2015,"Eglinton East (138)"
"Scarborough Village",139,3365,2360,6685,2095,2225,430,32913,28634,32.4,185967,7540,6560,980,5535,50.2,13,16560,8145,205,0,415,385,130,120,2665,490,10,30,180,310,15,1105,30,270,170,355,3980,2015,"Scarborough Village (139)"
"Guildwood",140,1295,1065,3370,1555,2635,540,53203,43848,7.7,177062,4975,4575,395,3390,54.7,7.9,9660,7130,130,0,60,365,240,95,370,310,20,25,10,210,15,2175,140,300,180,95,1090,2015,"Guildwood (140)"
