"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Don Valley Village",47,4065,3280,11860,3145,4700,665,37379,31875,23.5,414411,13880,12540,1330,8885,55.1,9.6,26850,7965,235,0,825,1065,175,245,3475,1360,100,740,60,5915,280,2120,360,1415,145,305,5630,2015,"Don Valley Village (47)",81495
"Hillcrest Village",48,2115,2170,6060,2265,4305,630,40442,34203,21.9,298716,7930,7270,660,6870,49.1,8.3,16920,4870,130,0,250,425,180,95,1235,540,75,470,35,7265,55,1650,825,1070,155,755,1940,2015,"Hillcrest Village (48)",81495
"Bayview Woods-Steeles",49,1515,1635,4490,1825,3685,740,47246,38196,18.4,253036,6205,5720,495,4940,51.3,8,12740,4575,120,0,165,430,165,115,1215,475,30,620,30,3695,75,1565,495,200,100,570,1775,2015,"Bayview Woods-Steeles (49)",81495
"Newtonbrook East",50,1585,2185,6860,2155,3320,670,45212,36139,27.4,335768,8085,7375,710,5875,52.8,8.8,15565,4125,70,5,210,560,105,105,2610,650,60,1630,25,4020,85,2760,10,30,380,330,2590,2015,"Newtonbrook East (50)",81495
"Willowdale East",51,5920,6940,25850,5460,6270,830,45326,36740,30.3,572155,27075,24770,2300,17275,55.9,8.5,50290,13580,465,0,1280,1825,275,160,7500,1695,455,4630,55,14470,330,3385,65,845,250,1650,16100,2015,"Willowdale East (51)",81495
"Bayview Village",52,2415,2505,10310,2540,3615,610,52035,41440,23.7,354894,11885,10965,910,6845,58.5,7.7,21255,7380,200,0,380,655,140,115,2865,1060,120,1395,45,4895,130,2025,120,880,75,520,5900,2015,"Bayview Village (52)",81495
"Henry Farm",53,2505,2330,8045,1390,1460,135,36359,30931,29.6,202357,8605,7720,890,4600,58.5,10.3,15725,4720,145,0,870,450,60,80,2635,705,55,380,30,2605,70,495,0,435,15,80,5330,2015,"Henry Farm (53)",81495
"O'Connor-Parkview",54,3110,2385,7855,2650,2690,430,43907,36221,22.5,354525,9580,8620,970,5820,56,10.1,18655,11140,310,5,350,815,175,1020,1315,685,55,70,80,440,40,3030,130,145,285,1485,2395,2015,"O'Connor-Parkview (54)",81495
"Thorncliffe Park",55,5600,2455,9020,1665,2365,425,28875,25675,45.5,195114,8490,7415,1070,6760,48.6,12.6,20850,5060,130,0,925,660,45,300,9310,540,20,75,105,310,240,0,0,85,0,375,6660,2015,"Thorncliffe Park (55)",81495
"Leaside-Bennington",56,3285,2175,6455,2340,2550,400,125564,85496,6.9,841619,9145,8510,635,4215,63.7,6.9,16690,13450,290,0,90,415,220,185,270,480,55,90,10,450,30,3565,795,75,45,1420,525,2015,"Leaside-Bennington (56)",81495
"Broadview North",57,1470,1040,5680,1435,1865,255,44557,37018,22.6,126349,6575,6035,540,3300,61.1,8.2,11380,6215,170,5,140,990,80,1080,280,475,60,55,25,370,130,850,440,80,150,815,3325,2015,"Broadview North (57)",81495
"Old East York",58,1470,915,4035,1280,1520,230,53315,43038,13.5,257522,5115,4870,255,2625,62.9,5,9225,5730,135,5,55,350,80,980,225,375,35,30,10,410,30,2220,170,0,425,455,520,2015,"Old East York (58)",81495
