"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Danforth East York",59,3020,1450,7930,2135,2655,365,51846,42455,13.6,334260,9420,8770,650,4640,62.4,6.9,17105,10745,355,0,130,665,125,1305,585,785,80,65,20,1065,45,2900,1700,35,550,945,880,2015,"Danforth East York (59)",81495
"Woodbine-Lumsden",60,1165,675,3790,1150,1095,125,47710,39565,15.2,147462,4695,4380,310,2000,65.5,6.6,7845,5405,120,5,65,250,70,210,145,365,45,35,5,590,10,1885,325,20,285,320,610,2015,"Woodbine-Lumsden (60)",81495
"Taylor-Massey",61,2950,1690,7580,1750,1705,270,30430,27064,32.9,102259,7935,7030,910,4595,56.1,11.5,15495,6240,180,10,545,460,55,75,4335,580,40,160,90,530,115,600,195,185,195,240,4840,2015,"Taylor-Massey (61)",81495
"East End-Danforth",62,3735,2210,9990,2805,2650,310,54324,43567,18.8,304010,12120,11125,990,5170,64.3,8.2,21095,15525,385,15,290,395,210,125,1115,645,55,115,45,830,70,1770,1950,595,485,2240,2085,2015,"East End-Danforth (62)",81495
"The Beaches",63,3825,2075,9590,3140,2955,265,92580,67490,9.4,659192,12710,11985,725,4920,68,5.7,21530,18200,555,0,80,435,405,95,150,510,35,40,20,320,40,2590,1450,340,465,3925,640,2015,"The Beaches (63)",81495
"Woodbine Corridor",64,2325,1035,6165,1625,1380,170,55199,44594,15.8,240272,7270,6715,560,2835,66.4,7.7,12445,9515,325,15,105,205,125,110,275,400,50,45,20,660,25,885,1555,300,190,1810,690,2015,"Woodbine Corridor (64)",81495
"Greenwood-Coxwell",65,2460,1305,7240,1765,1640,200,46206,38307,19.7,216423,8245,7660,595,3670,64.2,7.2,14385,9555,265,5,125,255,125,170,725,450,50,45,25,1745,15,965,1480,335,360,2360,515,2015,"Greenwood-Coxwell (65)",81495
"Danforth",66,1675,920,4370,1195,1515,195,55225,43924,14.2,260052,5445,5105,340,2510,64.3,6.2,9605,6245,215,5,90,215,105,505,410,615,50,50,15,595,15,685,1240,30,215,1410,330,2015,"Danforth (66)",81495
"Playter Estates-Danforth",67,1150,735,3725,970,1220,195,70831,54115,13.6,194189,4680,4385,300,1815,67.6,6.4,7755,5745,160,5,55,230,105,415,95,235,40,35,5,235,30,630,580,60,200,1170,925,2015,"Playter Estates-Danforth (67)",81495
"North Riverdale",68,1960,1170,5490,1645,1660,140,73253,56122,10.9,318764,7160,6780,380,2575,69.6,5.3,11700,8750,195,5,45,250,140,340,110,315,50,30,15,995,15,815,1305,360,315,1460,700,2015,"North Riverdale (68)",81495
"Blake-Jones",69,1405,885,3605,940,895,115,48511,39515,24.5,154132,4080,3740,345,2200,59.6,8.5,7685,4955,175,0,225,115,70,215,460,230,25,20,45,690,20,495,815,370,170,795,470,2015,"Blake-Jones (69)",81495
"South Riverdale",70,3975,2445,15025,3120,3330,520,53803,43297,18.7,662651,16535,15470,1070,6600,66.8,6.5,27385,17745,615,20,230,450,215,120,530,705,85,70,80,4795,35,865,2390,1660,685,4195,2175,2015,"South Riverdale (70)",81495
"Cabbagetown-South St. James Town",71,800,1035,5855,1715,2250,305,63012,49123,20.8,301145,7275,6695,585,2925,65.6,8,11285,7935,350,5,130,335,170,40,235,460,50,105,25,535,25,160,460,630,160,1640,3375,2015,"Cabbagetown-South St. James Town (71)",81495
"Regent Park",72,1635,1775,5575,1100,730,50,34597,29525,42.3,103250,5660,5120,545,3375,56.6,9.6,10690,4695,240,0,585,200,35,15,1640,360,25,50,100,1105,20,5,50,505,10,735,3630,2015,"Regent Park (72)",81495
"Moss Park",73,1540,2060,12530,2495,1900,140,58915,45877,31.9,170813,12325,11485,845,4700,67.5,6.9,18865,11830,655,20,950,640,180,70,800,775,70,150,175,1035,55,65,135,630,110,2350,8240,2015,"Moss Park (73)",81495
"North St. James Town",74,2290,2265,10350,1970,1740,220,32648,28541,36.5,144164,10845,9715,1125,5225,60.4,10.4,18405,7535,385,5,1085,645,80,50,2065,885,65,295,130,850,95,5,0,100,20,575,8845,2015,"North St. James Town (74)",81495
"Church-Yonge Corridor",75,1260,5060,18780,3235,3010,250,53583,43039,26,443734,21855,19990,1865,7240,68.7,8.5,30915,17950,920,15,815,1300,320,85,1550,1555,160,640,100,3065,120,10,25,220,45,1280,18055,2015,"Church-Yonge Corridor (75)",81495
"Bay Street Corridor",76,1695,6860,13065,1760,2420,330,56526,43427,37.7,352218,15000,13455,1535,8950,56.2,10.2,25740,10610,450,5,1220,780,185,70,1635,1005,290,1120,25,6450,180,5,0,15,0,240,14800,2015,"Bay Street Corridor (76)",81495
"Waterfront Communities-The Island",77,3650,7840,45105,4680,4635,365,70600,54292,16.5,662333,51100,48470,2640,10885,78.2,5.2,65790,39530,1735,0,1560,2635,640,245,3700,2995,300,830,145,6760,255,255,40,560,80,535,39265,2015,"Waterfront Communities-The Island (77)",81495
"Kensington-Chinatown",78,1315,3350,8760,1795,2705,480,37422,31282,33.2,222404,10105,9290,825,6045,57.5,8.2,17585,8210,320,0,400,370,115,20,465,750,100,255,35,5185,30,70,215,600,245,2930,4630,2015,"Kensington-Chinatown (78)",81495
"University",79,565,1485,3590,650,1320,305,50757,40931,22.4,197072,4405,4035,365,1760,65.5,8.3,7070,4405,140,0,105,175,95,45,195,570,65,135,15,790,30,125,215,285,185,1410,1125,2015,"University (79)",81495
"Palmerston-Little Italy",80,1280,1465,7845,1260,1960,290,58071,46199,13.8,347339,9275,8640,630,3220,69.1,6.8,13815,9095,295,0,105,335,130,160,135,1990,65,90,10,820,10,355,960,295,410,3890,310,2015,"Palmerston-Little Italy (80)",81495
"Trinity-Bellwoods",81,1745,1630,9210,1625,2350,330,50694,40658,14.7,333954,10055,9440,610,4440,65.1,6.1,16300,9035,280,0,95,315,115,30,110,2870,65,60,5,2565,20,385,715,890,875,3385,295,2015,"Trinity-Bellwoods (81)",81495
"Niagara",82,2055,2415,23320,1885,1510,95,70623,54803,13.7,369683,24595,23490,1110,3795,82.7,4.5,30580,20505,755,5,525,1255,260,120,1020,2140,85,260,80,1625,95,35,110,860,315,1770,15645,2015,"Niagara (82)",81495
"Dufferin Grove",83,1285,1065,6680,1235,1515,175,40588,34403,18,128586,7555,6995,565,2870,67.1,7.5,11740,6630,210,5,95,315,75,80,265,2435,45,85,15,655,20,310,500,110,400,2700,1335,2015,"Dufferin Grove (83)",81495
"Little Portugal",84,1400,1605,9385,1325,1855,255,45737,37924,15.6,202912,10650,9965,685,3005,73,6.4,15440,9390,250,0,130,340,85,20,180,2915,50,90,25,1000,15,270,460,605,240,2835,2955,2015,"Little Portugal (84)",81495
"South Parkdale",85,2115,2275,12440,2475,2540,360,35207,30293,30.5,258500,13135,12020,1125,5455,64.7,8.6,20910,11625,370,10,585,1220,140,30,520,1045,40,90,70,2210,60,200,150,355,210,3280,7170,2015,"South Parkdale (85)",81495
"Roncesvalles",86,2300,1305,7990,1690,1680,185,50580,40926,19.9,377518,9020,8415,600,3550,66.9,6.7,14895,10100,330,0,120,1000,160,65,230,770,30,55,65,730,10,675,995,320,430,2715,1720,2015,"Roncesvalles (86)",81495
"High Park-Swansea",87,3540,2125,11570,2870,3800,755,71204,54872,11.1,483620,14525,13650,865,5290,68.9,6,23455,15700,500,0,200,2865,410,125,340,1210,90,175,35,475,25,2655,515,290,565,3240,3585,2015,"High Park-Swansea (87)",81495
"High Park North",88,2850,1890,11660,2585,3180,550,57465,45893,16.5,496958,13715,12740,970,5265,67.1,7.1,22105,13495,485,5,410,2755,365,115,485,1315,90,295,20,520,110,1370,600,130,410,1985,6515,2015,"High Park North (88)",81495
"Runnymede-Bloor West Village",89,2050,960,4605,1215,1245,195,71888,55942,6.9,223885,5825,5535,295,2200,69,5.1,10070,7390,210,5,150,800,120,150,65,420,25,30,10,195,15,2025,760,50,240,735,0,2015,"Runnymede-Bloor West Village (89)",81495
"Junction Area",90,2190,1465,7470,1750,1500,175,49709,40679,13.5,310473,8890,8390,500,3110,69.9,5.6,14090,9060,210,5,245,685,120,140,200,1315,40,65,15,620,20,740,980,565,510,2510,720,2015,"Junction Area (90)",81495
"Weston-Pelham Park",91,1675,1415,5275,1415,1325,150,33528,29334,20.4,127491,5965,5460,505,3455,58,8.5,11100,5185,115,10,280,165,20,85,170,3475,20,25,60,315,30,505,1220,300,210,1475,500,2015,"Weston-Pelham Park (91)",81495
"Corso Italia-Davenport",92,1910,1545,6930,1740,2015,300,41717,35165,13.4,304000,8310,7710,600,3890,63.2,7.2,14110,6555,165,5,85,190,80,85,185,5200,50,60,35,365,30,1240,1230,105,610,2235,0,2015,"Corso Italia-Davenport (92)",81495
"Dovercourt-Wallace Emerson-Junction",93,4480,3925,19790,3935,4515,595,39740,33777,17.1,594477,22330,20710,1610,9420,65.2,7.2,36355,19345,510,0,525,755,195,400,1000,7925,170,260,75,2280,70,1635,2050,1140,1135,6875,2265,2015,"Dovercourt-Wallace Emerson-Junction (93)",81495
"Wychwood",94,1860,1320,6420,1595,3150,880,54460,43054,16.7,239484,7875,7470,410,3510,65.6,5.2,13345,8445,230,0,175,300,155,405,130,1715,40,115,20,590,30,920,880,290,395,2080,1295,2015,"Wychwood (94)",81495
"Annex",95,2360,3750,15040,3480,5910,1040,112766,80138,18.3,792507,18560,17305,1250,7740,65.8,6.7,29880,20645,705,25,505,1055,495,260,785,1605,175,420,40,1540,145,645,1185,595,455,4795,8165,2015,"Annex (95)",81495
"Casa Loma",96,1200,1080,4555,1465,2675,395,165047,115033,12.5,545338,6475,6055,425,3160,62.8,6.6,10870,8255,200,0,130,370,210,35,200,480,25,40,15,295,30,875,265,200,155,1225,2680,2015,"Casa Loma (96)",81495
"Yonge-St.Clair",97,1210,920,5960,1540,2905,470,114174,80555,12.9,541217,7710,7245,455,3395,65.2,5.9,12530,9230,260,0,150,510,200,25,310,565,55,135,5,300,30,520,450,220,130,1370,4315,2015,"Yonge-St.Clair (97)",81495
"Rosedale-Moore Park",98,2625,2185,7925,3030,5140,750,207903,134865,10.2,1413132,11510,10815,695,6490,60.1,6,20900,15785,495,0,245,655,385,110,465,790,80,165,5,670,80,2450,485,260,345,1505,4990,2015,"Rosedale-Moore Park (98)",81495
"Mount Pleasant East",99,2980,1705,7620,2020,2455,260,85340,63862,10.3,348357,9720,9050,670,4055,65.7,6.9,16765,12250,380,5,140,780,210,145,420,675,75,165,20,500,45,2160,1620,140,180,1055,2275,2015,"Mount Pleasant East (99)",81495
"Yonge-Eglinton",100,1800,1225,5860,1325,1600,165,89330,65356,12,222648,7320,6815,505,2680,68.2,6.9,11810,8485,240,0,165,410,150,60,305,575,50,190,5,435,25,1400,465,60,310,1445,1995,2015,"Yonge-Eglinton (100)",81495
"Forest Hill South",101,1365,1355,4235,1530,2260,325,204521,142627,10.7,784645,6105,5765,340,3175,62.1,5.6,10730,8060,155,0,140,415,205,35,175,395,40,45,0,360,25,1685,65,40,70,1050,2025,2015,"Forest Hill South (101)",81495
"Forest Hill North",102,2060,1500,5390,1725,2135,350,85099,62714,15.5,258469,7520,6960,560,3085,65.6,7.4,12675,7705,165,0,355,710,170,55,210,815,25,70,20,200,75,1470,15,30,110,385,3430,2015,"Forest Hill North (102)",81495
"Lawrence Park South",103,2845,2095,5870,2115,2235,315,169203,111586,7.3,1216585,8365,7740,625,3895,63.1,7.5,15185,12020,270,0,105,425,175,90,300,440,35,115,5,445,60,3420,110,35,230,1015,925,2015,"Lawrence Park South (103)",81495
"Mount Pleasant West",104,2380,2520,17100,3030,4605,940,57039,45441,20.8,443047,19780,18450,1330,6765,69.5,6.7,29285,17125,700,0,615,1940,345,135,1755,2025,150,595,50,1135,240,475,185,200,100,1755,14785,2015,"Mount Pleasant West (104)",81495
"Lawrence Park North",105,3280,1670,5980,1725,1935,265,111730,79100,6.7,470908,7945,7435,505,3335,65.9,6.4,14605,11260,240,0,75,440,185,145,295,470,65,175,5,615,40,3110,885,30,185,1005,205,2015,"Lawrence Park North (105)",81495
"Humewood-Cedarvale",106,2165,1610,7005,1650,1940,280,65274,49925,15.7,289910,8890,8265,630,3175,68.5,7.1,14235,9605,240,5,190,380,145,180,165,1165,60,125,15,205,20,1850,265,0,155,2595,1705,2015,"Humewood-Cedarvale (106)",81495
"Oakwood Village",107,3130,2275,9535,2590,3700,540,39803,33777,18.6,267062,11725,10920,800,6120,61.2,6.8,20975,10810,230,10,450,460,115,480,175,4615,75,110,50,590,100,2795,1260,20,685,2390,1525,2015,"Oakwood Village (107)",81495
"Briar Hill-Belgravia",108,1855,1655,6740,1925,2100,310,34768,30341,17,190243,8350,7635,725,4005,61.8,8.7,14215,5475,105,5,190,960,45,145,130,2990,20,60,30,280,90,1610,155,75,385,1100,2395,2015,"Briar Hill-Belgravia (108)",81495
"Caledonia-Fairbank",109,1490,1220,4570,1350,1325,165,35112,30529,14.2,132879,5550,5145,400,2875,61.1,7.2,9905,3875,100,5,55,95,15,65,90,4005,15,10,5,165,70,1680,435,20,440,940,165,2015,"Caledonia-Fairbank (109)",81495
"Keelesdale-Eglinton West",110,1610,1430,4790,1435,1785,230,33316,29133,18.3,184802,5645,5155,485,3780,54.7,8.6,11040,4150,90,5,110,125,25,45,345,4455,20,25,30,210,35,1670,425,10,395,1005,665,2015,"Keelesdale-Eglinton West (110)",81495
"Rockcliffe-Smythe",111,3505,2740,9255,3090,3655,480,34059,29764,22.8,295358,11215,10180,1030,7525,54.3,9.2,22250,10520,215,5,750,1015,145,155,420,5375,25,65,180,505,85,2765,1055,240,465,1275,3260,2015,"Rockcliffe-Smythe (111)",81495
"Beechborough-Greenbrook",112,1120,855,2750,885,965,145,33829,29453,28,109880,3125,2765,355,2135,52.7,11.4,6375,3420,60,5,185,55,20,20,145,1425,0,5,60,75,30,665,80,15,90,1130,665,2015,"Beechborough-Greenbrook (112)",81495
"Weston",113,3100,2225,7785,2430,2445,395,32997,28965,29.6,171044,9075,8105,965,5530,55.5,10.6,17725,10325,205,0,1045,335,80,60,310,2585,20,60,330,200,25,1620,205,160,230,990,4405,2015,"Weston (113)",81495
"Lambton Baby Point",114,1695,905,3310,1050,1025,140,76629,57429,18.5,214945,4200,3885,320,2080,61.8,7.6,7985,5330,150,0,160,825,110,45,70,495,10,25,40,100,20,1270,545,185,95,335,700,2015,"Lambton Baby Point (114)",81495
"Mount Dennis",115,2395,1815,5930,1760,1685,265,30827,27461,25.3,164344,6905,6150,745,3970,56.6,10.8,13265,6955,80,5,575,285,45,45,270,2310,20,110,245,260,85,955,150,335,210,1035,2495,2015,"Mount Dennis (115)",81495
"Steeles",116,3150,2685,9500,3515,5755,955,31786,27889,21,363045,11035,9990,1045,10085,47.3,9.5,24305,4580,95,0,495,205,65,275,595,360,30,95,0,15665,20,3725,185,555,355,285,2715,2015,"Steeles (116)",81495
"L'Amoreaux",117,6120,5730,17210,5930,8990,1345,31826,27944,23.5,529383,21145,18855,2300,16235,50.4,10.9,43960,13590,325,0,1210,510,160,740,2380,1265,55,215,130,14490,100,3685,925,2415,420,830,6760,2015,"L'Amoreaux (117)",81495
"Tam O'Shanter-Sullivan",118,3885,3225,10675,3510,6160,1220,34200,29756,23.8,475647,12910,11730,1175,10225,50.7,9.1,27060,9480,230,0,595,370,145,485,1955,720,35,195,65,7590,60,3080,165,920,670,340,4860,2015,"Tam O'Shanter-Sullivan (118)",81495
"Wexford/Maryvale",119,4215,3650,11380,3940,4715,905,35047,30272,19.2,336503,14340,13055,1285,8995,55.9,9,27625,13540,300,5,1140,595,165,1190,1745,1340,30,165,85,1370,210,5290,15,360,1470,1105,1865,2015,"Wexford/Maryvale (119)",81495
"Clairlea-Birchmount",120,4565,3495,11940,3360,3630,660,36232,31369,19.5,350777,14195,12960,1240,7545,59.6,8.7,26320,12770,300,5,680,630,100,555,3890,975,75,85,130,1815,55,3135,1015,1045,725,1315,1965,2015,"Clairlea-Birchmount (120)",81495
"Oakridge",121,2865,1680,6050,1595,1655,255,26793,24247,42.6,134303,6150,5250,900,4605,48.8,14.6,13635,5665,155,15,800,150,45,110,3895,340,25,20,110,615,40,1050,140,200,440,250,3175,2015,"Oakridge (121)",81495
"Birchcliffe-Cliffside",122,3345,2440,9075,3520,3910,630,54360,43027,14.5,369161,12000,10945,1055,6355,59.6,8.8,21870,16600,355,5,115,525,240,210,1010,660,20,35,35,725,20,4900,425,40,880,1960,945,2015,"Birchcliffe-Cliffside (122)",81495
"Cliffcrest",123,2575,2145,6070,2445,2695,370,44718,36364,17.9,248846,8200,7410,795,5045,55.9,9.7,15865,10335,145,5,145,455,210,160,1590,445,25,30,35,610,40,3380,55,435,470,160,1335,2015,"Cliffcrest (123)",81495
"Kennedy Park",124,2775,2175,7120,2510,2550,330,30974,27439,26.3,229390,8510,7730,775,5810,54,9.1,17105,8220,155,0,570,330,75,310,1980,565,35,45,75,1000,30,1805,350,125,680,695,2835,2015,"Kennedy Park (124)",81495
"Ionview",125,2310,1645,6050,1720,1890,245,31383,27852,23.3,169046,6905,6295,610,4380,55.7,8.8,13610,6460,110,5,390,255,65,270,1175,325,15,25,50,595,30,1020,375,145,380,270,2880,2015,"Ionview (125)",81495
"Dorset Park",126,4250,3155,10485,3330,3780,790,31692,28052,22.3,251476,12735,11495,1230,7415,57.1,9.7,24395,9615,200,0,975,330,110,485,2970,575,25,40,80,2325,60,2130,335,1560,510,465,3770,2015,"Dorset Park (126)",81495
"Bendale",127,4550,4605,12050,3535,5250,900,33256,28953,23.4,326482,14270,13020,1255,10335,52.9,8.8,29510,12340,200,0,600,575,200,495,4135,810,60,160,65,3990,95,3870,290,325,1075,340,4850,2015,"Bendale (127)",81495
"Agincourt South-Malvern West",128,3075,3360,9965,3265,4105,555,31825,27928,22.6,278390,12045,10855,1185,8345,53.2,9.8,23740,7080,140,0,245,280,105,280,1705,605,40,80,50,9955,10,2790,330,515,695,610,3145,2015,"Agincourt South-Malvern West (128)",81495
"Agincourt North",129,3840,3705,11305,4230,6045,925,30414,26955,21.3,427037,13865,12510,1360,11130,50,9.8,28845,7070,120,5,275,125,75,145,1060,345,50,50,25,14670,20,3345,805,1440,645,735,2120,2015,"Agincourt North (129)",81495
"Milliken",130,3675,3195,10565,4030,5115,880,28085,25109,22.1,525507,12195,11035,1160,10185,49.3,9.5,26270,5305,60,0,140,80,30,80,755,155,20,30,15,16510,10,3900,550,610,520,95,1970,2015,"Milliken (130)",81495
"Rouge",131,7960,6700,18510,6690,6625,685,39556,33736,9.5,729154,24645,22625,2010,13485,59.4,8.2,46085,24205,280,0,495,415,195,135,4315,700,10,55,140,1450,10,7625,1145,1855,1170,575,1015,2015,"Rouge (131)",81495
"Malvern",132,7910,6620,17865,5535,5890,445,29573,26505,20.4,533202,22260,19925,2335,13610,55.5,10.5,43780,21045,305,5,650,295,90,75,6195,620,10,60,255,2840,30,3475,1275,3540,1220,655,3175,2015,"Malvern (132)",81495
"Centennial Scarborough",133,2150,1850,5030,1955,2385,160,54045,43854,6.2,215135,7185,6635,545,4010,59.3,7.6,13345,9135,130,0,125,415,160,105,835,495,5,35,20,420,10,3510,160,485,150,60,0,2015,"Centennial Scarborough (133)",81495
"Highland Creek",134,1545,1925,4620,2020,2395,190,40972,34837,10.5,196620,6655,6095,565,4270,55.8,8.5,12475,6665,80,0,135,325,75,120,1195,415,20,60,35,755,5,3100,5,15,545,30,0,2015,"Highland Creek (134)",81495
"Morningside",135,2880,2690,6840,2355,2695,355,32291,28497,23.8,272837,8760,7770,995,5510,54.4,11.4,17170,9095,145,0,300,270,130,110,1640,425,20,55,110,645,5,2280,25,920,310,205,2130,2015,"Morningside (135)",81495
"West Hill",136,4635,3950,10765,3785,4240,625,33323,29221,25.2,316750,13100,11585,1515,9300,51.7,11.6,26985,16580,360,5,610,605,215,215,2350,895,20,60,225,585,35,3220,450,1445,735,635,3485,2015,"West Hill (136)",81495
"Woburn",137,9625,7660,21945,6245,8010,1130,30878,27341,27.2,629030,25180,22505,2665,18215,51.9,10.6,53310,22645,400,0,840,885,395,535,11010,1220,60,125,220,3225,50,6310,285,240,1750,490,9330,2015,"Woburn (137)",81495
"Eglinton East",138,4180,3130,9180,2825,3505,560,30033,26865,26,343031,10690,9540,1155,7385,52.8,10.8,22575,10970,310,5,490,425,130,330,1960,625,15,40,205,740,20,1535,120,510,585,195,4965,2015,"Eglinton East (138)",81495
"Scarborough Village",139,3365,2360,6685,2095,2225,430,32913,28634,32.4,185967,7540,6560,980,5535,50.2,13,16560,8145,205,0,415,385,130,120,2665,490,10,30,180,310,15,1105,30,270,170,355,3980,2015,"Scarborough Village (139)",81495
"Guildwood",140,1295,1065,3370,1555,2635,540,53203,43848,7.7,177062,4975,4575,395,3390,54.7,7.9,9660,7130,130,0,60,365,240,95,370,310,20,25,10,210,15,2175,140,300,180,95,1090,2015,"Guildwood (140)",81495
"Agincourt North",129,3400,3175,10210,4315,6430,920,33120,29120,12.4,85700,13130,10860,2270,11000,45,17.3,27540,7075,115,0,345,125,60,140,1385,295,35,40,20,12635,15,3315,795,1500,590,670,2195,2020,"Agincourt North (129)",98784.8101265823
"Agincourt South-Malvern West",128,3005,2835,10205,3655,4480,625,43400,36480,13,81000,12430,10645,1785,8730,50.3,14.4,24170,7525,135,0,245,200,65,255,2015,715,30,100,60,8735,25,2760,350,490,635,650,3935,2020,"Agincourt South-Malvern West (128)",98784.8101265823
"Alderwood",20,2035,1110,5305,1870,2280,365,52350,44120,6.2,105200,6940,6115,825,3620,57.9,11.9,12590,7560,105,0,145,1375,90,65,395,1205,0,45,20,430,20,2900,565,85,315,545,375,2020,"Alderwood (20)",98784.8101265823
"Annex",95,2435,3010,14555,3505,5785,665,79800,60000,14.4,129000,18730,16560,2165,8140,61.6,11.6,29300,19630,635,0,585,1025,390,290,805,1585,195,390,35,1320,235,615,1180,590,420,4535,8895,2020,"Annex (95)",98784.8101265823
"Avondale",153,1545,1305,8320,1255,1380,120,65400,52150,18.6,82900,8715,7720,995,3535,63,11.4,13795,4275,110,0,305,515,100,60,2145,670,125,1055,0,2620,165,485,0,395,55,620,5445,2020,"Avondale (153)",98784.8101265823
"Banbury-Don Mills",42,3470,2600,10170,3985,6925,1270,69300,55450,11.1,109700,13770,12325,1445,9910,52,10.5,27150,13115,405,0,490,1255,255,395,2605,990,165,410,85,3530,140,3450,285,745,40,1270,6430,2020,"Banbury-Don Mills (42)",98784.8101265823
"Bathurst Manor",34,2275,1920,6700,2240,2820,490,44040,38040,11.4,91500,8880,7765,1120,4795,56.8,12.6,15955,6820,135,0,440,1570,95,210,675,1550,0,335,45,635,385,2100,160,40,675,1065,2020,2020,"Bathurst Manor (34)",98784.8101265823
"Bay-Cloverhill",169,745,4345,8295,1190,2115,295,52700,42400,29,72300,10415,8850,1565,5510,55.6,15,16670,6840,330,0,450,475,85,35,900,640,75,580,20,4385,90,0,0,30,0,160,10375,2020,"Bay-Cloverhill (169)",98784.8101265823
"Bayview Village",52,2390,2225,11140,2590,3980,570,59650,48960,16.4,85300,12940,11170,1770,7000,56,13.7,22330,7245,190,0,355,640,125,170,3165,1125,135,1220,40,4875,200,2005,120,775,65,525,6970,2020,"Bayview Village (52)",98784.8101265823
"Bayview Woods-Steeles",49,1315,1390,4220,1755,3425,500,61650,50760,11.9,100300,5795,5015,775,4975,46.6,13.4,12085,4225,160,0,165,310,130,140,1430,455,15,565,35,3385,40,1545,485,185,105,565,1865,2020,"Bayview Woods-Steeles (49)",98784.8101265823
"Bedford Park-Nortown",39,3985,2980,7485,3320,4385,565,76600,59050,7.2,182600,11320,10140,1180,6840,55.9,10.4,22140,15830,290,0,390,490,320,175,530,990,25,165,15,625,60,4775,50,50,255,1250,1950,2020,"Bedford Park-Nortown (39)",98784.8101265823
"Beechborough-Greenbrook",112,1030,805,2650,855,925,130,36600,32000,18,69000,3105,2570,545,2120,49.2,17.6,6260,3270,35,0,195,50,10,10,160,1365,0,0,70,45,0,665,90,10,70,1085,650,2020,"Beechborough-Greenbrook (112)",98784.8101265823
"Bendale",127,1610,1555,4315,1500,1755,285,36000,31920,9.7,92400,5370,4545,825,3740,49.9,15.4,10720,4770,35,0,305,210,35,260,1760,225,15,35,25,375,0,1955,0,50,710,145,485,2020,"Bendale (127)",98784.8101265823
"Bendale-Glen Andrew",127,2610,2605,7835,2225,3410,510,41360,34920,17,74900,9330,7940,1395,6740,49.4,15,18685,6935,165,0,440,285,70,180,3095,450,35,100,20,2790,30,1920,275,280,355,205,4365,2020,"Bendale-Glen Andrew (127)",98784.8101265823
"Birchcliffe-Cliffside",122,3440,2425,9115,3690,4025,460,51350,43080,9.7,103000,12070,10265,1800,7190,53.3,14.9,22705,16820,315,0,190,345,195,185,1280,745,45,35,85,565,40,4940,440,45,805,2015,1345,2020,"Birchcliffe-Cliffside (122)",98784.8101265823
"Black Creek",24,4005,3085,8255,2790,3010,345,31280,28560,19.4,68300,9045,7290,1760,8090,42.5,19.5,21140,9780,120,0,1825,215,35,10,530,2170,0,55,680,680,130,670,640,1155,165,610,3995,2020,"Black Creek (24)",98784.8101265823
"Blake-Jones",69,1260,820,3365,995,1050,110,46880,39680,15.2,95900,4000,3465,535,2215,55.8,13.4,7475,4930,140,0,230,100,40,115,310,300,50,10,40,590,30,480,835,340,155,760,505,2020,"Blake-Jones (69)",98784.8101265823
"Briar Hill-Belgravia",108,1910,1485,6670,2120,2380,315,43840,38120,11.5,82700,8285,7130,1155,4385,56.3,13.9,14575,5730,85,0,195,715,20,145,280,2890,25,110,45,335,75,1615,170,80,410,1270,2385,2020,"Briar Hill-Belgravia (108)",98784.8101265823
"Bridle Path-Sunnybrook-York Mills",41,1315,1180,2790,1460,2185,235,195600,137200,9.1,310400,4435,4075,365,3185,53.4,8.2,8940,5490,125,0,105,310,130,60,650,255,50,75,0,1140,50,2265,45,225,30,60,670,2020,"Bridle Path-Sunnybrook-York Mills (41)",98784.8101265823
"Broadview North",57,1465,920,5220,1475,1880,170,49320,41920,14.6,77400,6250,5325,920,3245,56.1,14.7,10960,5845,160,0,160,825,80,890,370,605,30,40,50,315,255,845,455,90,115,770,3005,2020,"Broadview North (57)",98784.8101265823
"Brookhaven-Amesbury",30,3065,2375,7135,2485,2430,360,38960,34120,13.8,78200,8470,7015,1455,5960,48.6,17.2,17495,8555,80,15,520,155,55,25,680,3285,10,15,280,390,140,1810,275,25,95,545,3645,2020,"Brookhaven-Amesbury (30)",98784.8101265823
"Cabbagetown-South St. James Town",71,900,850,5295,1845,2120,205,62300,51160,15,93100,6860,5970,885,3265,59,12.9,11020,7550,290,0,115,310,95,55,300,590,105,60,30,360,15,165,460,630,170,1540,3215,2020,"Cabbagetown-South St. James Town (71)",98784.8101265823
"Caledonia-Fairbank",109,1440,1095,4545,1425,1505,210,41760,36240,10.6,87600,5630,4900,725,2945,57.1,12.9,10015,4155,80,10,80,160,0,50,225,3470,15,30,0,220,90,1685,505,20,380,965,140,2020,"Caledonia-Fairbank (109)",98784.8101265823
"Casa Loma",96,1175,1060,4685,1510,2915,375,88200,66300,10.7,183400,6585,5860,725,3590,57.6,11,11350,8385,230,0,130,360,165,20,185,565,45,55,0,340,75,880,285,205,150,1110,3185,2020,"Casa Loma (96)",98784.8101265823
